data_pid,water_lvl,lib_cap
1065215000,318.0,-0.0
1065215000,318.01,-0.02
1065215000,318.02,-0.04
1065215000,318.03,-0.05
1065215000,318.04,-0.07
1065215000,318.05,-0.09
1065215000,318.06,-0.11
1065215000,318.07,-0.13
1065215000,318.08,-0.14
1065215000,318.09,-0.16
1065215000,318.1,-0.18
1065215000,318.11,-0.2
1065215000,318.12,-0.21
1065215000,318.13,-0.23
1065215000,318.14,-0.25
1065215000,318.15,-0.27
1065215000,318.16,-0.29
1065215000,318.17,-0.3
1065215000,318.18,-0.32
1065215000,318.19,-0.34
1065215000,318.2,-0.36
1065215000,318.21,-0.37
1065215000,318.22,-0.39
1065215000,318.23,-0.41
1065215000,318.24,-0.42
1065215000,318.25,-0.44
1065215000,318.26,-0.46
1065215000,318.27,-0.48
1065215000,318.28,-0.49
1065215000,318.29,-0.51
1065215000,318.3,-0.53
1065215000,318.31,-0.54
1065215000,318.32,-0.56
1065215000,318.33,-0.58
1065215000,318.34,-0.6
1065215000,318.35,-0.61
1065215000,318.36,-0.63
1065215000,318.37,-0.65
1065215000,318.38,-0.66
1065215000,318.39,-0.68
1065215000,318.4,-0.7
1065215000,318.41,-0.71
1065215000,318.42,-0.73
1065215000,318.43,-0.75
1065215000,318.44,-0.76
1065215000,318.45,-0.78
1065215000,318.46,-0.79
1065215000,318.47,-0.81
1065215000,318.48,-0.83
1065215000,318.49,-0.84
1065215000,318.5,-0.86
1065215000,318.51,-0.88
1065215000,318.52,-0.89
1065215000,318.53,-0.91
1065215000,318.54,-0.92
1065215000,318.55,-0.94
1065215000,318.56,-0.96
1065215000,318.57,-0.97
1065215000,318.58,-0.99
1065215000,318.59,-1.0
1065215000,318.6,-1.02
1065215000,318.61,-1.04
1065215000,318.62,-1.05
1065215000,318.63,-1.07
1065215000,318.64,-1.08
1065215000,318.65,-1.1
1065215000,318.66,-1.11
1065215000,318.67,-1.13
1065215000,318.68,-1.15
1065215000,318.69,-1.16
1065215000,318.7,-1.18
1065215000,318.71,-1.19
1065215000,318.72,-1.21
1065215000,318.73,-1.22
1065215000,318.74,-1.24
1065215000,318.75,-1.25
1065215000,318.76,-1.27
1065215000,318.77,-1.28
1065215000,318.78,-1.3
1065215000,318.79,-1.31
1065215000,318.8,-1.33
1065215000,318.81,-1.34
1065215000,318.82,-1.36
1065215000,318.83,-1.37
1065215000,318.84,-1.39
1065215000,318.85,-1.4
1065215000,318.86,-1.42
1065215000,318.87,-1.43
1065215000,318.88,-1.45
1065215000,318.89,-1.46
1065215000,318.9,-1.48
1065215000,318.91,-1.49
1065215000,318.92,-1.51
1065215000,318.93,-1.52
1065215000,318.94,-1.54
1065215000,318.95,-1.55
1065215000,318.96,-1.56
1065215000,318.97,-1.58
1065215000,318.98,-1.59
1065215000,318.99,-1.61
1065215000,319.0,-1.62
1065215000,319.01,-1.64
1065215000,319.02,-1.65
1065215000,319.03,-1.66
1065215000,319.04,-1.68
1065215000,319.05,-1.69
1065215000,319.06,-1.71
1065215000,319.07,-1.72
1065215000,319.08,-1.73
1065215000,319.09,-1.75
1065215000,319.1,-1.76
1065215000,319.11,-1.78
1065215000,319.12,-1.79
1065215000,319.13,-1.8
1065215000,319.14,-1.82
1065215000,319.15,-1.83
1065215000,319.16,-1.84
1065215000,319.17,-1.86
1065215000,319.18,-1.87
1065215000,319.19,-1.88
1065215000,319.2,-1.9
1065215000,319.21,-1.91
1065215000,319.22,-1.92
1065215000,319.23,-1.94
1065215000,319.24,-1.95
1065215000,319.25,-1.96
1065215000,319.26,-1.98
1065215000,319.27,-1.99
1065215000,319.28,-2.0
1065215000,319.29,-2.02
1065215000,319.3,-2.03
1065215000,319.31,-2.04
1065215000,319.32,-2.05
1065215000,319.33,-2.07
1065215000,319.34,-2.08
1065215000,319.35,-2.09
1065215000,319.36,-2.1
1065215000,319.37,-2.12
1065215000,319.38,-2.13
1065215000,319.39,-2.14
1065215000,319.4,-2.15
1065215000,319.41,-2.17
1065215000,319.42,-2.18
1065215000,319.43,-2.19
1065215000,319.44,-2.2
1065215000,319.45,-2.22
1065215000,319.46,-2.23
1065215000,319.47,-2.24
1065215000,319.48,-2.25
1065215000,319.49,-2.27
1065215000,319.5,-2.28
1065215000,319.51,-2.29
