data_pid,water_lvl,lib_cap
111025000,55.0,354.53
111025000,55.01,352.22
111025000,55.02,350.03
111025000,55.03,347.95
111025000,55.04,345.99
111025000,55.05,344.14
111025000,55.06,342.41
111025000,55.07,340.79
111025000,55.08,339.28
111025000,55.09,337.87
111025000,55.1,336.58
111025000,55.11,335.39
111025000,55.12,334.31
111025000,55.13,333.33
111025000,55.14,332.46
111025000,55.15,331.68
111025000,55.16,331.01
111025000,55.17,330.43
111025000,55.18,329.95
111025000,55.19,329.57
111025000,55.2,329.28
111025000,55.21,329.09
111025000,55.22,328.99
111025000,55.23,328.98
111025000,55.24,329.07
111025000,55.25,329.24
111025000,55.26,329.5
111025000,55.27,329.85
111025000,55.28,330.28
111025000,55.29,330.8
111025000,55.3,331.4
111025000,55.31,332.09
111025000,55.32,332.86
111025000,55.33,333.71
111025000,55.34,334.63
111025000,55.35,335.64
111025000,55.36,336.73
111025000,55.37,337.89
111025000,55.38,339.13
111025000,55.39,340.44
111025000,55.4,341.83
111025000,55.41,343.28
111025000,55.42,344.82
111025000,55.43,346.42
111025000,55.44,348.09
111025000,55.45,349.83
111025000,55.46,351.64
111025000,55.47,353.52
111025000,55.48,355.46
111025000,55.49,357.47
111025000,55.5,359.54
111025000,55.51,361.68
111025000,55.52,363.88
111025000,55.53,366.15
111025000,55.54,368.47
111025000,55.55,370.86
111025000,55.56,373.3
111025000,55.57,375.81
111025000,55.58,378.37
111025000,55.59,380.99
111025000,55.6,383.66
111025000,55.61,386.4
111025000,55.62,389.18
111025000,55.63,392.03
111025000,55.64,394.92
111025000,55.65,397.87
111025000,55.66,400.87
111025000,55.67,403.93
111025000,55.68,407.03
111025000,55.69,410.18
111025000,55.7,413.38
111025000,55.71,416.64
111025000,55.72,419.94
111025000,55.73,423.28
111025000,55.74,426.68
111025000,55.75,430.12
111025000,55.76,433.61
111025000,55.77,437.14
111025000,55.78,440.71
111025000,55.79,444.33
111025000,55.8,447.99
111025000,55.81,451.7
111025000,55.82,455.45
111025000,55.83,459.23
111025000,55.84,463.06
111025000,55.85,466.93
111025000,55.86,470.84
111025000,55.87,474.79
111025000,55.88,478.78
111025000,55.89,482.8
111025000,55.9,486.87
111025000,55.91,490.97
111025000,55.92,495.1
111025000,55.93,499.28
111025000,55.94,503.48
111025000,55.95,507.73
111025000,55.96,512.01
111025000,55.97,516.32
111025000,55.98,520.66
111025000,55.99,525.04
111025000,56.0,529.45
111025000,56.01,533.9
111025000,56.02,538.37
111025000,56.03,542.88
111025000,56.04,547.42
111025000,56.05,551.99
111025000,56.06,556.59
111025000,56.07,561.22
111025000,56.08,565.87
111025000,56.09,570.56
111025000,56.1,575.28
111025000,56.11,580.02
111025000,56.12,584.79
111025000,56.13,589.59
111025000,56.14,594.42
111025000,56.15,599.27
111025000,56.16,604.15
111025000,56.17,609.06
111025000,56.18,613.99
111025000,56.19,618.94
111025000,56.2,623.92
111025000,56.21,628.93
111025000,56.22,633.96
111025000,56.23,639.01
111025000,56.24,644.09
111025000,56.25,649.19
111025000,56.26,654.32
111025000,56.27,659.47
111025000,56.28,664.64
111025000,56.29,669.83
111025000,56.3,675.04
111025000,56.31,680.28
111025000,56.32,685.53
111025000,56.33,690.81
111025000,56.34,696.11
111025000,56.35,701.43
111025000,56.36,706.77
111025000,56.37,712.13
111025000,56.38,717.51
111025000,56.39,722.91
111025000,56.4,728.33
111025000,56.41,733.77
111025000,56.42,739.23
111025000,56.43,744.7
111025000,56.44,750.2
111025000,56.45,755.71
111025000,56.46,761.24
111025000,56.47,766.79
111025000,56.48,772.36
111025000,56.49,777.94
111025000,56.5,783.54
111025000,56.51,789.16
111025000,56.52,794.8
111025000,56.53,800.45
111025000,56.54,806.12
111025000,56.55,811.8
111025000,56.56,817.5
111025000,56.57,823.22
111025000,56.58,828.96
111025000,56.59,834.71
111025000,56.6,840.47
111025000,56.61,846.25
111025000,56.62,852.05
111025000,56.63,857.86
111025000,56.64,863.69
111025000,56.65,869.53
111025000,56.66,875.38
111025000,56.67,881.25
111025000,56.68,887.14
111025000,56.69,893.04
111025000,56.7,898.96
111025000,56.71,904.88
111025000,56.72,910.83
111025000,56.73,916.78
111025000,56.74,922.76
111025000,56.75,928.74
111025000,56.76,934.74
111025000,56.77,940.75
111025000,56.78,946.78
